d = 49.729267, x= 323, y= 224
d = 49.729267, x= 323, y= 224
d = 49.729267, x= 323, y= 224
d = 49.729267, x= 323, y= 224
d = 49.729267, x= 323, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 49.729267, x= 323, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.000000, x= 322, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.289165, x= 321, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.596443, x= 320, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
d = 50.921509, x= 319, y= 224
